date,pm25,pm10,no2,so2,o3,co,station,lat,lon,split,t2m,blh,u10,v10,sp,tp,msdwswrf,rh,wind_speed,vi
2023-03-11,,,,,,,city center gwalior India,26.2037247,78.1573628,train,297.343914,471.7163373,0.50216838,-0.220779503,98591.7076,0.0,200.0976641,61.77437538,0.5485587213933905,258.76411084966134
2023-04-11,,,,,,,city center gwalior India,26.2037247,78.1573628,train,297.4406534,436.8962718,0.348536229,-0.592296378,98656.86285,0.0,183.7933742,64.38964903,0.687235405314263,300.2505864307634
2023-05-11,,,,,,,city center gwalior India,26.2037247,78.1573628,train,297.5312737,600.5440462,-0.243107448,0.916823382,98811.67041,0.0,180.356373,62.60478222,0.9485074301527588,569.6204899547017
2023-06-11,,,,,,,city center gwalior India,26.2037247,78.1573628,train,297.3485752,373.9094532,-0.983145828,0.273057267,98916.61142,0.0,189.2395302,62.82742686,1.020360715715435,381.5225172799189
2023-07-11,,,,,,,city center gwalior India,26.2037247,78.1573628,train,297.2830742,417.633009,-0.640972963,1.013991244,98818.30518,0.0,192.7229591,58.83491439,1.1995935070704855,500.9898459347097
2023-08-11,,,,,,,city center gwalior India,26.2037247,78.1573628,train,297.7640164,335.8635975,0.949179078,-0.602238406,98746.52942,0.0,191.9940875,59.93537643,1.124113882030798,377.5489324185545
2023-10-11,122.94791666666669,174.52083333333334,2.748958333333333,23.225694444444443,58.61875,0.7096180555555556,city center gwalior India,26.2037247,78.1573628,train,297.299202,296.4697274,-0.889425659,-0.295910094,98919.38135,0.000466591,163.740461,68.37293247,0.937358408837662,277.8983919441994
2023-11-11,55.630434782608695,98.36574074074072,2.7947916666666663,24.359375,57.290625,0.7452777777777778,city center gwalior India,26.2037247,78.1573628,train,294.9370163,407.7305498,0.531237405,-1.980869649,99120.58748,1.29e-05,184.0985468,76.3027639,2.0508675595465733,836.2013576209085
2023-12-11,84.6304347826087,130.83695652173913,2.777083333333333,28.40173611111111,62.128125,0.8684722222222222,city center gwalior India,26.2037247,78.1573628,train,294.5538857,396.2606461,0.585184691,-1.22155321,99159.12037,0.0,197.6974981,65.18405651,1.3544863851076796,536.7296500964225
2023-11-13,234.9659090909091,275.1470588235294,2.842708333333333,16.71840277777778,71.4625,0.5113888888888889,city center gwalior India,26.2037247,78.1573628,train,294.3960433,383.8611744,-0.456948403,-0.69836247,99113.97646,0.0,191.1194519,66.89966373,0.8345729342057238,320.36014664666305
2023-11-15,128.78125,275.0625,2.7760416666666665,26.077430555555555,45.41875,0.7985416666666666,city center gwalior India,26.2037247,78.1573628,train,293.6793601,388.3884145,-0.366576321,-1.178003974,99067.35017,0.0,195.4621178,64.89237898,1.233722643821409,479.1635815665453
2023-11-18,128.44791666666666,286.3506944444444,2.782291666666667,12.766319444444443,37.4875,0.3896527777777778,city center gwalior India,26.2037247,78.1573628,train,293.2989637,435.0209751,-0.991996335,-0.138857189,98988.77751,0.0,188.0397391,69.7568402,1.001667633294804,435.7464305620149
2023-11-19,103.69791666666669,241.31944444444449,2.896875,21.760416666666668,38.375,0.6665972222222223,city center gwalior India,26.2037247,78.1573628,train,293.9600299,406.0227793,-1.170222325,-0.39013665,99047.33787,0.0,171.1194742,71.29699705,1.2335424174310456,500.84632070979393
