station,date,lat,lon,elevation,doy,pm25,pm10,no2,so2,o3,co,u10,v10,t2m,blh,rh,ventilation_index,lag_PM25_D1,lag_PM25_D2,lag_AOD_D1,lag_NO2_D1,lag_CO_D1,split
maharaj bada gwalior India,2023-10-02,26.2037247,78.1573628,221.0,275,,,,,,,0.905841794,-2.248376343,300.9857868,288.5595027,64.13206978,699.466421255438,,,0.5707622170448303,2.1097066564834677e-05,0.024711186066269875,train
maharaj bada gwalior India,2023-10-03,26.2037247,78.1573628,221.0,276,,,,,,,1.514824931,-1.49210048,300.7135369,337.6662663,53.18710498,717.9723756651944,,,0.6133942604064941,2.3202039301395416e-05,0.018831579014658928,train
maharaj bada gwalior India,2023-10-05,26.2037247,78.1573628,221.0,278,,,,,,,1.685346514,-0.397087762,300.7174819,330.2847508,58.26852795,571.8860729757411,,,0.22647082805633545,4.616310616256669e-05,0.0,train
maharaj bada gwalior India,2023-10-06,26.2037247,78.1573628,221.0,279,,,,,,,1.329897217,0.459302874,301.749815,282.4371217,56.43554101,397.3826806503125,,,0.13787442445755005,4.1240655264118686e-05,0.034466709941625595,train
maharaj bada gwalior India,2023-10-08,26.2037247,78.1573628,221.0,281,,,,,,,3.281206546,0.283259561,302.7977512,385.1482033,54.89919156,1268.4511166255315,,,0.21120138466358185,4.347263529780321e-05,0.031046176329255104,train
maharaj bada gwalior India,2023-10-09,26.2037247,78.1573628,221.0,282,,,,,,,3.261262876,0.557281084,302.6410367,410.4859715,57.12032909,1358.1068257246582,,,0.2541331350803375,2.468337697791867e-05,0.03291197121143341,train
maharaj bada gwalior India,2023-10-10,26.2037247,78.1573628,221.0,283,27.354166666666668,109.7222222222222,12.744791666666666,21.23645833333333,85.92395833333333,0.9108333333333332,2.498388334,0.526042957,302.5731374,443.0456272,56.01778684,1131.1697985070475,,,0.273136168718338,2.287944698764477e-05,0.03299582377076149,train
maharaj bada gwalior India,2023-10-11,26.2037247,78.1573628,221.0,284,38.69047619047619,174.66304347826085,19.554513888888888,22.015625,107.34375,1.3342013888888886,1.139329543,-0.515827017,302.2178653,443.9698873,56.07108428,555.2551810640143,27.354166666666668,,0.22520217299461365,2.5567102056811564e-05,0.03190052881836891,train
maharaj bada gwalior India,2023-10-12,26.2037247,78.1573628,221.0,285,74.55208333333333,221.81944444444443,28.81701388888889,27.50902777777777,124.06875,0.8383333333333334,0.255948434,0.283513154,301.3562144,600.6876335,53.77488886,229.4353991930471,38.69047619047619,27.354166666666668,1.0217585563659668,2.8449980163713917e-05,0.036211587488651276,train
maharaj bada gwalior India,2023-10-13,26.2037247,78.1573628,221.0,286,57.25,136.57971014492753,21.36736111111111,35.01590909090909,92.08333333333331,1.1045,1.122566505,0.121560182,301.621542,603.0005878,51.47832782,680.8654873785333,74.55208333333333,38.69047619047619,0.3236938714981079,3.85741914215032e-05,0.024705231189727783,train
maharaj bada gwalior India,2023-10-14,26.2037247,78.1573628,221.0,287,49.239583333333336,98.59722222222224,16.889236111111114,30.212499999999995,94.40416666666664,0.9320138888888888,1.298567993,-0.220826707,302.1467409,565.1189483,52.45890941,744.380562180242,57.25,74.55208333333333,0.33572518825531006,3.936298890039325e-05,0.031704120337963104,train
maharaj bada gwalior India,2023-10-15,26.2037247,78.1573628,221.0,288,55.8625,116.25,20.442013888888887,32.975,92.59375,1.0333680555555556,1.236325514,-0.367763467,301.7695385,518.0877486,54.50796158,668.263058239721,49.239583333333336,57.25,,2.4816121367621236e-05,0.03519154712557793,train
maharaj bada gwalior India,2023-10-16,26.2037247,78.1573628,221.0,289,52.53260869565217,122.75757575757576,15.694791666666664,24.74565217391304,80.30833333333334,0.5730208333333333,0.144690495,-0.512173735,300.3075354,534.2105884,56.84809126,284.31713064403834,55.8625,49.239583333333336,0.9623863697052002,3.5468525311443955e-05,0.034645117819309235,train
maharaj bada gwalior India,2023-10-17,26.2037247,78.1573628,221.0,290,38.01470588235294,83.05000000000001,17.008680555555557,17.95036231884058,71.55416666666667,1.010520833333333,-0.859123685,0.081220169,297.5284921,355.8326916,72.74590992,307.0673715205159,52.53260869565217,55.8625,0.5315647721290588,2.6304100174456835e-05,0.03209483623504639,train
maharaj bada gwalior India,2023-10-18,26.2037247,78.1573628,221.0,291,65.54166666666667,165.40625,23.613541666666663,31.80208333333333,116.96145833333334,1.1501388888888888,1.106767203,-1.677252432,297.9945607,376.5844852,68.23382362,756.7483138484155,38.01470588235294,52.53260869565217,0.8582838177680969,4.2998995013476815e-06,0.038176603615283966,train
maharaj bada gwalior India,2023-10-21,26.2037247,78.1573628,221.0,294,69.421875,175.27083333333331,20.178125,44.80833333333334,130.08125,,-0.846431765,0.129201259,298.5151005,474.4382052,61.91991117,406.2309631383459,65.54166666666667,38.01470588235294,0.6493626832962036,4.182134580332786e-05,0.01380271278321743,train
maharaj bada gwalior India,2023-10-24,26.2037247,78.1573628,221.0,297,91.9375,248.60416666666663,30.722222222222225,50.34791666666666,135.209375,0.8518402777777778,1.213910526,-1.634037172,297.9744908,542.0257494,57.7741874,1103.3461356125315,69.421875,65.54166666666667,0.6196951866149902,4.280636494513601e-05,0.03823067247867584,train
maharaj bada gwalior India,2023-10-25,26.2037247,78.1573628,221.0,298,79.4875,220.0378787878788,32.903125,48.61597222222222,129.41875,1.4906372549019609,1.587919662,-1.32731987,297.6150985,463.9673214,60.44695664,960.2293162253668,91.9375,69.421875,0.47586143016815186,4.62948992208112e-05,0.0065366970375180244,train
maharaj bada gwalior India,2023-10-26,26.2037247,78.1573628,221.0,299,79.13541666666667,222.6736111111111,34.22604166666667,64.065625,136.33020833333333,1.2707246376811596,1.450328518,-1.318176207,297.5020344,503.3671549,57.43084176,986.5278812659482,79.4875,91.9375,0.4506482183933258,4.7817255108384416e-05,0.019075702875852585,train
maharaj bada gwalior India,2023-10-27,26.2037247,78.1573628,221.0,300,73.20454545454545,219.93560606060603,36.734027777777776,90.76992753623188,121.19166666666668,1.2152777777777777,0.394136715,-0.078122063,297.1593981,461.5411232,52.12945194,185.4492718750472,79.13541666666667,79.4875,0.47556179761886597,4.0564558730693534e-05,0.02949485555291176,train
maharaj bada gwalior India,2023-10-28,26.2037247,78.1573628,221.0,301,78.82352941176471,207.76315789473685,39.10568181818181,80.02916666666667,71.30208333333334,,-0.143157851,0.429439397,297.0628706,405.8937825,52.42280114,183.73694148665305,73.20454545454545,79.13541666666667,0.4012722671031952,4.809143501915969e-05,0.033152986317873,train
maharaj bada gwalior India,2023-10-29,26.2037247,78.1573628,221.0,302,75.13888888888889,221.18421052631572,43.10125,77.13874999999999,74.51875000000001,0.6743229166666667,-0.432188032,0.421345395,297.7728047,369.3857293,55.6120265,222.95678230024532,78.82352941176471,73.20454545454545,0.8508944511413574,4.1809540562098846e-05,0.0,train
maharaj bada gwalior India,2023-10-30,26.2037247,78.1573628,221.0,303,85.78125,244.91319444444443,42.82986111111112,55.84409722222222,134.17916666666667,1.4721666666666668,-0.621705025,0.510239357,298.5723675,415.4056445,57.57140069,334.1011659813139,75.13888888888889,78.82352941176471,0.4144989848136902,4.3743733840528876e-05,0.02635858580470085,train
maharaj bada gwalior India,2023-10-31,26.2037247,78.1573628,221.0,304,91.08333333333331,255.4861111111111,39.484375,32.06944444444444,134.59270833333332,1.4346180555555554,-1.370630433,0.020574992,298.1828981,437.181257,61.64877335,599.2814452621661,85.78125,75.13888888888889,0.43671801686286926,3.332718551973812e-05,0.03836078196763992,train
maharaj bada gwalior India,2023-11-01,26.2037247,78.1573628,221.0,305,,,,,,,-1.182611179,-0.395019224,297.6669032,442.4308585,62.31381633,551.6403855899164,91.08333333333331,85.78125,0.4758504629135132,4.398977034725249e-05,0.025049474090337753,train
